INFO 2025-09-24 18:00:39,663 autoreload 19484 1340 Watching for file changes with StatReloader
WARNING 2025-09-25 07:33:42,870 basehttp 31280 19764 "POST /api/v1/auth/login HTTP/1.1" 404 3461
INFO 2025-09-25 07:33:58,323 basehttp 31280 33656 "GET /admin/ HTTP/1.1" 302 0
INFO 2025-09-25 07:33:58,333 basehttp 31280 33656 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4214
INFO 2025-09-25 07:34:08,403 basehttp 31280 33656 "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2025-09-25 07:34:08,696 basehttp 31280 33656 "GET /admin/ HTTP/1.1" 200 7871
INFO 2025-09-25 07:34:08,779 basehttp 31280 33656 "GET /static/admin/css/dashboard.css HTTP/1.1" 200 441
INFO 2025-09-25 07:34:08,834 basehttp 31280 33656 "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 331
INFO 2025-09-25 07:34:08,853 basehttp 31280 33656 "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 380
INFO 2025-09-25 07:34:15,101 basehttp 31280 33656 "GET /admin/users/user/add/ HTTP/1.1" 200 17181
INFO 2025-09-25 07:34:15,665 basehttp 31280 33656 "GET /static/admin/css/forms.css HTTP/1.1" 200 9047
INFO 2025-09-25 07:34:15,745 basehttp 31280 22304 "GET /admin/jsi18n/ HTTP/1.1" 200 8876
INFO 2025-09-25 07:34:15,780 basehttp 31280 22304 "GET /static/admin/js/jquery.init.js HTTP/1.1" 200 347
INFO 2025-09-25 07:34:15,826 basehttp 31280 22304 "GET /static/admin/js/core.js HTTP/1.1" 200 5682
INFO 2025-09-25 07:34:15,886 basehttp 31280 22304 "GET /static/admin/css/widgets.css HTTP/1.1" 200 11900
INFO 2025-09-25 07:34:15,968 basehttp 31280 37812 "GET /static/admin/js/urlify.js HTTP/1.1" 200 7887
INFO 2025-09-25 07:34:15,974 basehttp 31280 4048 "GET /static/admin/js/prepopulate.js HTTP/1.1" 200 1531
INFO 2025-09-25 07:34:15,997 basehttp 31280 22304 "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 200 8943
INFO 2025-09-25 07:34:15,998 basehttp 31280 2640 "GET /static/admin/js/actions.js HTTP/1.1" 200 7872
INFO 2025-09-25 07:34:16,001 basehttp 31280 33656 "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 200 292458
INFO 2025-09-25 07:34:16,039 basehttp 31280 37812 "GET /static/admin/img/icon-deletelink.svg HTTP/1.1" 200 392
INFO 2025-09-25 07:34:16,079 basehttp 31280 4048 "GET /static/admin/img/icon-viewlink.svg HTTP/1.1" 200 581
INFO 2025-09-25 07:34:16,107 basehttp 31280 30008 "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 200 232381
INFO 2025-09-25 07:34:16,475 basehttp 31280 30008 "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 200 586
INFO 2025-09-25 07:34:16,518 basehttp 31280 4048 "GET /static/admin/js/change_form.js HTTP/1.1" 200 606
INFO 2025-09-25 07:34:43,740 basehttp 31280 5456 "POST /admin/users/user/add/ HTTP/1.1" 302 0
INFO 2025-09-25 07:34:43,869 basehttp 31280 5456 "GET /admin/users/user/2/change/ HTTP/1.1" 200 26333
INFO 2025-09-25 07:34:43,959 basehttp 31280 5456 "GET /admin/jsi18n/ HTTP/1.1" 200 8876
